"season","posteam","offense_rank","opponent","defense_rank","week","game_id","home","player_id","full_name","position","pass_attempt","rec_attempt","rush_attempt","pass_completions","receptions","pass_yards_gained","rec_yards_gained","rush_yards_gained","pass_touchdown","rec_touchdown","rush_touchdown","pass_two_point_conv","rec_two_point_conv","rush_two_point_conv","pass_interception","rec_fumble_lost","total_fantasy_points","total_fantasy_points_exp","seasonavg_pass_attempt","seasonavg_rec_attempt","seasonavg_rush_attempt","seasonavg_pass_completions","seasonavg_receptions","seasonavg_pass_yards_gained","seasonavg_rec_yards_gained","seasonavg_rush_yards_gained","seasonavg_pass_touchdown","seasonavg_rec_touchdown","seasonavg_rush_touchdown","seasonavg_pass_two_point_conv","seasonavg_rec_two_point_conv","seasonavg_rush_two_point_conv","seasonavg_pass_interception","seasonavg_rec_fumble_lost","seasonavg_total_fantasy_points","last4avg_pass_attempt","last4avg_rec_attempt","last4avg_rush_attempt","last4avg_pass_completions","last4avg_receptions","last4avg_pass_yards_gained","last4avg_rec_yards_gained","last4avg_rush_yards_gained","last4avg_pass_touchdown","last4avg_rec_touchdown","last4avg_rush_touchdown","last4avg_pass_two_point_conv","last4avg_rec_two_point_conv","last4avg_rush_two_point_conv","last4avg_pass_interception","last4avg_rec_fumble_lost","last4avg_total_fantasy_points","lastweek_pass_attempt","lastweek_rec_attempt","lastweek_rush_attempt","lastweek_pass_completions","lastweek_receptions","lastweek_pass_yards_gained","lastweek_rec_yards_gained","lastweek_rush_yards_gained","lastweek_pass_touchdown","lastweek_rec_touchdown","lastweek_rush_touchdown","lastweek_pass_two_point_conv","lastweek_rec_two_point_conv","lastweek_rush_two_point_conv","lastweek_pass_interception","lastweek_rec_fumble_lost","lastweek_total_fantasy_points","depth_position"
"2023","WAS",NA,"ARI",NA,1,"2023_01_ARI_WAS",1,"00-0037077","Sam Howell","QB",31,0,2,19,0,202,0,11,1,0,1,0,0,0,1,0,17.18,15.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QB"
"2023","WAS",NA,"ARI",NA,1,"2023_01_ARI_WAS",1,"00-0037741","Jahan Dotson","WR",0,7,0,0,5,0,40,0,0,0,0,0,0,0,0,0,9,10.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR"
"2023","WAS",NA,"ARI",NA,1,"2023_01_ARI_WAS",1,"00-0037741","Jahan Dotson","WR",0,7,0,0,5,0,40,0,0,0,0,0,0,0,0,0,9,10.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"2023","WAS",NA,"ARI",NA,1,"2023_01_ARI_WAS",1,"00-0031260","Logan Thomas","TE",0,8,0,0,4,0,43,0,0,0,0,0,0,0,0,0,8.3,11.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TE"
"2023","WAS",NA,"ARI",NA,1,"2023_01_ARI_WAS",1,"00-0033282","Curtis Samuel","WR",0,5,1,0,5,0,54,6,0,0,0,0,0,0,0,0,11,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR"
"2023","ARI",NA,"WAS",NA,1,"2023_01_ARI_WAS",0,"00-0033949","Joshua Dobbs","QB",30,0,3,21,0,132,0,-3,0,0,0,0,0,0,0,0,2.98,10.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QB"
"2023","ARI",NA,"WAS",NA,1,"2023_01_ARI_WAS",0,"00-0030061","Zach Ertz","TE",0,10,0,0,6,0,21,0,0,0,0,0,0,0,0,0,8.1,15.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TE"
"2023","ARI",NA,"WAS",NA,1,"2023_01_ARI_WAS",0,"00-0033251","Zach Pascal","WR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WR"
"2023","WAS",NA,"ARI",NA,1,"2023_01_ARI_WAS",1,"00-0037746","Brian Robinson","RB",0,2,19,0,1,0,7,59,0,1,0,0,0,0,0,0,13.6,14.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"2023","ARI",NA,"WAS",NA,1,"2023_01_ARI_WAS",0,"00-0033553","James Conner","RB",0,5,14,0,5,0,8,62,0,0,0,0,0,0,0,0,12,13.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
